temperatureMin,temperatureMax,sunriseTime,sunsetTime
47.39,72.46,1514771280,1514809020
45.57,72.5,1514857680,1514895480
43.75,72.5,1514944080,1514981880
44.09,72.58,1515030540,1515068340
47.49,72.46,1515116940,1515154800
47.57,74.01,1515203340,1515241200
47.81,72.5,1515289740,1515327660
45.82,72.46,1515376140,1515414120
45.51,74.01,1515462540,1515500580
45.44,74.14,1515548940,1515586980
47.44,75.84,1515635340,1515673440
53.03,75.95,1515721740,1515759900
54.92,79.57,1515808140,1515846360
49.62,79.71,1515894540,1515932760
47.53,79.44,1515980940,1516019220
44.22,79.47,1516067340,1516105680
51.43,79.71,1516153740,1516192140
54.84,81.38,1516240140,1516278600
52.69,79.57,1516326540,1516365000
51.39,75.95,1516412940,1516451460
47.23,77.62,1516499280,1516537920
54.64,77.97,1516585680,1516624380
58.63,75.81,1516672080,1516710840
51.16,70.43,1516758480,1516797240
45.93,74.23,1516844820,1516883700
47.73,76.21,1516931220,1516970160
49.44,77.62,1517017620,1517056620
47.62,77.75,1517103960,1517143080
51.2,81.21,1517190360,1517229480
52.75,84.84,1517276700,1517315940
61.96,85.06,1517363100,1517402400
54.73,86.62,1517449440,1517488860
56.83,83.18,1517535840,1517575260
60.09,77.75,1517622180,1517661720
55.01,77.84,1517708580,1517748180
52.69,76.04,1517794920,1517834640
58.59,74.28,1517881320,1517921100
54.77,75.95,1517967660,1518007500
51.08,77.65,1518054000,1518093960
50.29,77.75,1518140400,1518180420
54.51,79.47,1518226740,1518266820
61.96,74.01,1518313140,1518353280
56.43,77.84,1518399480,1518439740
54.56,77.97,1518485820,1518526200
51.09,75.95,1518572160,1518612600
53.0,81.21,1518658560,1518699060
56.72,83.18,1518744900,1518785520
62.1,86.66,1518831240,1518871920
58.23,83.27,1518917580,1518958380
56.83,84.84,1519003920,1519044840
59.77,88.44,1519090320,1519131240
60.09,92.04,1519176660,1519217700
64.03,90.46,1519263000,1519304160
63.29,92.04,1519349340,1519390560
65.71,90.46,1519435680,1519477020
71.02,86.75,1519522020,1519563480
59.83,86.89,1519608360,1519649880
63.67,88.58,1519694700,1519736340
65.79,88.67,1519781040,1519822740
71.02,93.84,1519867380,1519909200
69.18,92.18,1519953720,1519995600
67.1,93.8,1520040060,1520082060
67.03,88.72,1520126400,1520168520
51.39,84.97,1520212740,1520254920
61.56,86.62,1520299080,1520341380
60.33,88.71,1520385420,1520427780
64.03,90.46,1520471760,1520514240
67.6,90.37,1520558100,1520600640
68.84,92.27,1520644440,1520687100
65.84,92.31,1520730780,1520773500
67.29,93.8,1520817120,1520859960
67.64,97.46,1520903460,1520946360
71.25,90.5,1520989800,1521032820
69.0,90.37,1521076140,1521119220
68.88,90.23,1521162480,1521205680
65.74,90.5,1521248760,1521292080
65.84,92.18,1521335100,1521378540
68.88,90.46,1521421440,1521464940
69.44,93.8,1521507780,1521551400
70.68,90.23,1521594120,1521637800
69.44,86.89,1521680460,1521724260
65.27,88.44,1521766800,1521810660
63.81,92.18,1521853140,1521897120
67.37,93.93,1521939480,1521983520
66.97,97.46,1522025760,1522069980
67.29,101.02,1522112100,1522156380
72.37,103.84,1522198440,1522242840
70.82,101.16,1522284780,1522329240
72.88,101.16,1522371120,1522415700
71.21,101.16,1522457460,1522502100
72.8,99.48,1522543800,1522588560
76.4,101.16,1522630140,1522674960
76.15,102.82,1522716480,1522761420
81.83,103.09,1522802820,1522847820
82.05,103.04,1522889100,1522934280
78.39,101.06,1522975440,1523020680
70.8,97.73,1523061780,1523107140
78.31,99.21,1523148120,1523193540
78.41,95.86,1523234460,1523280000
76.63,97.73,1523320800,1523366400
71.91,100.29,1523407140,1523452860
69.3,94.14,1523493480,1523539260
73.02,95.86,1523579820,1523625720
76.4,101.02,1523666160,1523712120
77.92,102.91,1523752500,1523798580
83.71,103.04,1523838840,1523884980
83.71,103.17,1523925180,1523971440
82.01,101.16,1524011520,1524057840
79.95,102.95,1524097860,1524144300
80.22,101.06,1524184200,1524230700
78.23,95.63,1524270540,1524317160
76.6,95.89,1524356880,1524403560
72.66,97.59,1524443280,1524490020
74.82,102.95,1524529620,1524576420
79.87,104.86,1524615960,1524662880
80.18,106.68,1524702300,1524749340
83.85,110.06,1524788640,1524835740
85.57,110.06,1524874980,1524922200
85.52,110.06,1524961320,1525008600
83.85,111.9,1525047720,1525095060
82.05,108.44,1525134060,1525181460
83.58,110.06,1525220400,1525267920
78.1,104.59,1525306740,1525354320
79.99,104.64,1525393140,1525440780
83.85,108.44,1525479480,1525527240
89.24,108.21,1525565820,1525613640
81.58,104.81,1525652160,1525700100
76.63,99.24,1525738560,1525786500
80.22,102.82,1525824900,1525872960
79.99,106.42,1525911300,1525959360
85.23,110.19,1525997640,1526045820
89.24,110.06,1526083980,1526132280
87.36,106.65,1526170380,1526218680
80.08,106.65,1526256720,1526305140
85.6,104.81,1526343120,1526391540
82.03,106.65,1526429460,1526478000
85.63,106.65,1526515860,1526564400
83.31,106.42,1526602200,1526650860
87.45,108.41,1526688600,1526737320
83.77,108.27,1526774940,1526823720
90.98,108.49,1526861340,1526910180
87.11,111.92,1526947680,1526996580
89.3,112.19,1527034080,1527083040
92.73,108.4,1527120480,1527169440
85.49,110.11,1527206820,1527255900
87.4,111.92,1527293220,1527342300
74.55,110.25,1527379620,1527428760
83.08,111.87,1527466020,1527515220
86.98,113.73,1527552360,1527601620
77.86,107.96,1527638760,1527688080
81.98,106.7,1527725160,1527774480
87.11,113.69,1527811560,1527860940
83.56,112.27,1527897900,1527947340
92.73,110.38,1527984300,1528033740
91.11,112.06,1528070700,1528120200
94.56,110.11,1528157100,1528206600
85.41,102.91,1528243500,1528293060
87.28,108.49,1528329900,1528379460
86.8,109.21,1528416300,1528465920
74.88,102.22,1528502700,1528552320
80.0,100.18,1528589100,1528638720
83.77,104.78,1528675500,1528725180
85.69,106.7,1528761900,1528811580
87.28,104.65,1528848300,1528897980
85.69,103.47,1528934700,1528984440
84.48,105.35,1529021100,1529070840
84.59,104.07,1529107500,1529157240
85.04,103.52,1529193900,1529243700
85.02,103.28,1529280300,1529330100
83.28,104.58,1529366760,1529416500
84.85,107.26,1529453160,1529502900
86.64,106.95,1529539560,1529589360
88.07,110.42,1529625960,1529675760
89.37,109.19,1529712360,1529762160
88.64,104.96,1529798820,1529848560
84.64,101.94,1529885220,1529934960
82.7,94.34,1529971620,1530021360
79.89,90.74,1530058020,1530107820
74.65,88.55,1530144480,1530194220
